date,time,status,icon,rainProb,rainIntensity,temp,windSpeed
2020-02-19,11:37:05,"Possible Drizzle",rain,0.25,0.0035,6,23.87
2020-02-19,11:39:40,"Possible Drizzle",rain,0.25,0.0036,6,23.86
2020-02-19,13:00:04,"Mostly Cloudy",partly-cloudy-day,0.23,0.0026,6,22.86
2020-02-19,14:00:02,"Mostly Cloudy",partly-cloudy-day,0.17,0.0011,6,21.32
2020-02-19,15:00:02,"Mostly Cloudy",partly-cloudy-day,0.15,0.0007,6,19.8
2020-02-19,16:00:03,"Mostly Cloudy",partly-cloudy-day,0.13,0.0006,6,18.66
2020-02-19,17:00:01,"Mostly Cloudy",partly-cloudy-night,0.11,0.0005,5,16.95
2020-02-19,18:00:06,"Mostly Cloudy",partly-cloudy-night,0.08,0.0004,5,15.64
2020-02-19,19:00:01,"Mostly Cloudy",partly-cloudy-night,0.06,0.0003,5,14.75
2020-02-19,22:00:06,"Partly Cloudy",partly-cloudy-night,0.17,0.0008,4,15.32
2020-02-19,23:00:03,"Possible Drizzle",rain,0.46,0.0036,5,16.3
2020-02-20,00:00:03,"Possible Drizzle",rain,0.51,0.0049,5,17.23
2020-02-20,01:00:03,"Possible Drizzle",rain,0.56,0.0093,5,17.99
2020-02-20,02:00:04,"Possible Drizzle",rain,0.48,0.0155,6,18.65
2020-02-20,03:00:02,"Possible Light Rain",rain,0.39,0.0186,7,19.1
2020-02-20,04:00:03,"Possible Drizzle",rain,0.41,0.0144,7,19.45
2020-02-20,05:00:03,"Possible Drizzle",rain,0.39,0.0078,7,19.82
2020-02-20,06:00:03,Overcast,cloudy,0.19,0.004,8,20.34
2020-02-20,07:00:05,Overcast,cloudy,0.15,0.003,8,21.77
2020-02-20,08:00:02,Overcast,cloudy,0.17,0.0029,8,23.02
2020-02-20,09:00:03,Overcast,cloudy,0.18,0.0031,8,23.72
2020-02-20,10:00:03,"Windy and Overcast",wind,0.18,0.0029,8,24.69
2020-02-20,11:00:02,"Windy and Overcast",wind,0.15,0.0028,9,24.96
2020-02-20,12:00:04,"Windy and Overcast",wind,0.17,0.0026,9,25.97
2020-02-20,13:00:03,"Possible Drizzle and Windy",rain,0.27,0.0027,9,27.32
2020-02-20,14:00:02,"Possible Drizzle and Windy",rain,0.28,0.003,8,27.18
2020-02-20,15:00:01,"Possible Drizzle and Windy",rain,0.38,0.0048,8,27.19
2020-02-20,16:00:01,"Possible Drizzle and Windy",rain,0.57,0.0122,8,27.89
2020-02-20,17:00:04,"Light Rain and Dangerously Windy",rain,0.73,0.0282,8,28.83
2020-02-20,18:00:04,"Light Rain and Dangerously Windy",rain,0.78,0.0416,8,29.44
2020-02-20,19:00:02,"Light Rain and Dangerously Windy",rain,0.79,0.0476,7,29.52
2020-02-20,20:00:01,"Light Rain and Dangerously Windy",rain,0.74,0.0371,6,29.02
